matchup_id,name,fighter,opponent,weight_class,career_style,predicted_infight_style,style_shift_predicted,style_shift_probability,Odds,odds_numeric,implied_probability,predicted_probability,betting_edge,bet_size,prob_ko_tko,prob_submission,prob_decision,event_name,event_date,dk_link,dk_parlay_link,parlay_bet_size,parlay_combined_odds,won,potential_winnings,total_return,net,profit_multiplier,result_date
Israel Adesanya_vs_Joe Pyfer,Israel Adesanya,Israel Adesanya,Joe Pyfer,Middleweight,Striker,Striker,False,0.527,-130.0,-130.0,0.5331,0.3993,-0.1338,0.0,0.4108,0.1081,0.481,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,,https://sportsbook.draftkings.com/event/33462193?outcomes=0ML82984687_3+0ML83911438_3+0ML83911441_3+0ML83911442_1,1.55,915,0,0.0,0.0,0.0,0.0,2026-03-29
Joe Pyfer_vs_Israel Adesanya,Joe Pyfer,Joe Pyfer,Israel Adesanya,Middleweight,Striker,Striker,False,0.527,102.0,102.0,0.4669,0.6007,0.1338,2.68,0.4108,0.1081,0.481,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,https://sportsbook.draftkings.com/event/33462193?outcomes=0ML82984687_3,https://sportsbook.draftkings.com/event/33462193?outcomes=0ML82984687_3+0ML83911438_3+0ML83911441_3+0ML83911442_1,1.55,915,1,2.7336,5.4136,2.7336,2.02,2026-03-29
Alexa Grasso_vs_Maycee Barber,Alexa Grasso,Alexa Grasso,Maycee Barber,Women's Flyweight,Striker,BJJ,False,0.527,124.0,124.0,0.4216,0.3276,-0.094,0.0,0.375,0.1252,0.4998,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,,https://sportsbook.draftkings.com/event/33462193?outcomes=0ML82984687_3+0ML83911438_3+0ML83911441_3+0ML83911442_1,1.55,915,1,0.0,0.0,0.0,0.0,2026-03-29
Maycee Barber_vs_Alexa Grasso,Maycee Barber,Maycee Barber,Alexa Grasso,Women's Flyweight,Wrestler,Striker,False,0.527,-158.0,-158.0,0.5784,0.6724,0.094,2.73,0.375,0.1252,0.4998,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,https://sportsbook.draftkings.com/event/33833370?outcomes=0ML83911438_3,https://sportsbook.draftkings.com/event/33462193?outcomes=0ML82984687_3+0ML83911438_3+0ML83911441_3+0ML83911442_1,1.55,915,0,0.0,0.0,-2.73,0.0,2026-03-29
Michael Chiesa_vs_Niko Price,Michael Chiesa,Michael Chiesa,Niko Price,Welterweight,BJJ,Wrestler,False,0.527,-850.0,-850.0,0.8579,0.8537,-0.0042,0.0,0.2766,0.2619,0.4615,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,,https://sportsbook.draftkings.com/event/33462193?outcomes=0ML82984687_3+0ML83911438_3+0ML83911441_3+0ML83911442_1,1.55,915,1,0.0,0.0,0.0,0.0,2026-03-29
Niko Price_vs_Michael Chiesa,Niko Price,Niko Price,Michael Chiesa,Welterweight,BJJ,Wrestler,False,0.527,575.0,575.0,0.1421,0.1463,0.0042,0.0,0.2766,0.2619,0.4615,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,,https://sportsbook.draftkings.com/event/33462193?outcomes=0ML82984687_3+0ML83911438_3+0ML83911441_3+0ML83911442_1,1.55,915,0,0.0,0.0,0.0,0.0,2026-03-29
Terrance McKinney_vs_Kyle Nelson,Terrance McKinney,Terrance McKinney,Kyle Nelson,Lightweight,BJJ,Wrestler,False,0.527,-150.0,-150.0,0.5667,0.5278,-0.039,0.0,0.268,0.2612,0.4708,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,,https://sportsbook.draftkings.com/event/33462193?outcomes=0ML82984687_3+0ML83911438_3+0ML83911441_3+0ML83911442_1,1.55,915,1,0.0,0.0,0.0,0.0,2026-03-29
Kyle Nelson_vs_Terrance McKinney,Kyle Nelson,Kyle Nelson,Terrance McKinney,Lightweight,BJJ,Wrestler,False,0.527,118.0,118.0,0.4333,0.4722,0.039,0.0,0.268,0.2612,0.4708,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,,https://sportsbook.draftkings.com/event/33462193?outcomes=0ML82984687_3+0ML83911438_3+0ML83911441_3+0ML83911442_1,1.55,915,0,0.0,0.0,0.0,0.0,2026-03-29
Casey O'Neill_vs_Gabriella Fernandes,Casey O'Neill,Casey O'Neill,Gabriella Fernandes,Women's Flyweight,BJJ,Striker,False,0.527,,,0.4852,0.4106,-0.0746,0.0,0.3432,0.1704,0.4863,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,,https://sportsbook.draftkings.com/event/33462193?outcomes=0ML82984687_3+0ML83911438_3+0ML83911441_3+0ML83911442_1,1.55,915,1,0.0,0.0,0.0,0.0,2026-03-29
Gabriella Fernandes_vs_Casey O'Neill,Gabriella Fernandes,Gabriella Fernandes,Casey O'Neill,Women's Flyweight,Muay_Thai,BJJ,False,0.527,-113.0,-113.0,0.5148,0.5894,0.0746,2.6,0.3432,0.1704,0.4863,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,https://sportsbook.draftkings.com/event/33833375?outcomes=0ML83911441_3,https://sportsbook.draftkings.com/event/33462193?outcomes=0ML82984687_3+0ML83911438_3+0ML83911441_3+0ML83911442_1,1.55,915,0,0.0,0.0,-2.6,0.0,2026-03-29
Navajo Stirling_vs_Bruno Lopes,Navajo Stirling,Navajo Stirling,Bruno Lopes,Light Heavyweight,Mixed,BJJ,False,0.527,-440.0,-440.0,0.7696,0.7457,-0.0239,0.0,0.4706,0.1872,0.3422,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,,https://sportsbook.draftkings.com/event/33462193?outcomes=0ML82984687_3+0ML83911438_3+0ML83911441_3+0ML83911442_1,1.55,915,1,0.0,0.0,0.0,0.0,2026-03-29
Bruno Lopes_vs_Navajo Stirling,Bruno Lopes,Bruno Lopes,Navajo Stirling,Light Heavyweight,Mixed,BJJ,False,0.527,310.0,310.0,0.2304,0.2543,0.0239,0.0,0.4706,0.1872,0.3422,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,,https://sportsbook.draftkings.com/event/33462193?outcomes=0ML82984687_3+0ML83911438_3+0ML83911441_3+0ML83911442_1,1.55,915,0,0.0,0.0,0.0,0.0,2026-03-29
Ricky Simon_vs_Adrian Yanez,Ricky Simon,Ricky Simon,Adrian Yanez,Bantamweight,Wrestler,Striker,False,0.527,-158.0,-158.0,0.5784,0.6629,0.0846,2.69,0.224,0.1361,0.6399,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,https://sportsbook.draftkings.com/event/33833376?outcomes=0ML83911442_1,https://sportsbook.draftkings.com/event/33462193?outcomes=0ML82984687_3+0ML83911438_3+0ML83911441_3+0ML83911442_1,1.55,915,0,0.0,0.0,-2.69,0.0,2026-03-29
Adrian Yanez_vs_Ricky Simon,Adrian Yanez,Adrian Yanez,Ricky Simon,Bantamweight,Striker,BJJ,False,0.527,124.0,124.0,0.4216,0.3371,-0.0846,0.0,0.224,0.1361,0.6399,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,,https://sportsbook.draftkings.com/event/33462193?outcomes=0ML82984687_3+0ML83911438_3+0ML83911441_3+0ML83911442_1,1.55,915,0,0.0,0.0,0.0,0.0,2026-03-29
Alexia Thainara_vs_Bruna Brasil,Alexia Thainara,Alexia Thainara,Bruna Brasil,Women's Strawweight,Mixed,BJJ,False,0.527,-480.0,-480.0,0.7806,0.7834,0.0028,0.0,0.3423,0.1824,0.4752,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,,https://sportsbook.draftkings.com/event/33462193?outcomes=0ML82984687_3+0ML83911438_3+0ML83911441_3+0ML83911442_1,1.55,915,1,0.0,0.0,0.0,0.0,2026-03-29
Bruna Brasil_vs_Alexia Thainara,Bruna Brasil,Bruna Brasil,Alexia Thainara,Women's Strawweight,Mixed,BJJ,False,0.527,330.0,330.0,0.2194,0.2166,-0.0028,0.0,0.3423,0.1824,0.4752,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,,https://sportsbook.draftkings.com/event/33462193?outcomes=0ML82984687_3+0ML83911438_3+0ML83911441_3+0ML83911442_1,1.55,915,0,0.0,0.0,0.0,0.0,2026-03-29
